GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
23200	5.00e-13	5.45e-15	0.049	-7.816039	-0.3831727	3158.15	ATP11B	ATPase phospholipid transporting 11B (putative)
101927858	5.00e-13	5.48e-15	0.1174	-7.815407	-0.9172257	116.31	RNF32-AS1	RNF32 antisense RNA 1
2029	5.11e-13	5.63e-15	0.0358	7.812072	0.2797229	3557.25	ENSA	endosulfine alpha
112637020	5.31e-13	5.87e-15	0.0791	-7.806686	-0.6171891	337.45	SREBF2-AS1	SREBF2 antisense RNA 1
9633	5.48e-13	6.09e-15	0.0846	-7.801983	-0.6601652	497.88	TESMIN	testis expressed metallothionein like protein
10094	6.24e-13	6.96e-15	0.068	7.785171	0.5295831	3298.84	ARPC3	actin related protein 2/3 complex subunit 3
9993	6.25e-13	7.01e-15	0.0381	7.784339	0.2967846	3028.32	DGCR2	DiGeorge syndrome critical region gene 2
30812	6.56e-13	7.39e-15	0.1118	-7.777542	-0.8693121	393.19	SOX8	SRY-box transcription factor 8
6389	7.39e-13	8.37e-15	0.0433	-7.761835	-0.3359471	4969.6	SDHA	succinate dehydrogenase complex flavoprotein subunit A
8493	7.91e-13	9.00e-15	0.0739	7.752599	0.5731883	1721.51	PPM1D	protein phosphatase, Mg2+/Mn2+ dependent 1D
55588	8.02e-13	9.17e-15	0.0449	7.750313	0.3482455	1480.74	MED29	mediator complex subunit 29
27341	8.54e-13	9.81e-15	0.0485	7.741727	0.3756985	1826.99	RRP7A	ribosomal RNA processing 7 homolog A
7481	9.39e-13	1.08e-14	0.1431	-7.729135	-1.1062244	96.38	WNT11	Wnt family member 11
2526	9.58e-13	1.11e-14	0.0819	-7.725934	-0.6325058	505.76	FUT4	fucosyltransferase 4
57089	9.84e-13	1.15e-14	0.0497	7.721936	0.3835707	1529.28	ENTPD7	ectonucleoside triphosphate diphosphohydrolase 7
51196	1.02e-12	1.19e-14	0.0707	-7.7172	-0.5454814	667.02	PLCE1	phospholipase C epsilon 1
23175	1.09e-12	1.28e-14	0.0847	-7.707309	-0.6526313	692.8	LPIN1	lipin 1
581	1.11e-12	1.31e-14	0.0894	7.704615	0.6891361	2204.63	BAX	BCL2 associated X, apoptosis regulator
107984489	1.13e-12	1.34e-14	0.1149	-7.70185	-0.885205	118.84	LOC107984489	
1958	1.14e-12	1.35e-14	0.2218	-7.700876	-1.708357	5763.12	EGR1	early growth response 1
114134	1.21e-12	1.44e-14	0.0584	-7.692341	-0.4489573	566.12	SLC2A13	solute carrier family 2 member 13
4616	1.26e-12	1.51e-14	0.11	-7.68628	-0.8451647	482.64	GADD45B	growth arrest and DNA damage inducible beta
79719	1.38e-12	1.67e-14	0.0567	7.674137	0.4349581	3235.8	AAGAB	alpha and gamma adaptin binding protein
8526	1.39e-12	1.68e-14	0.1048	-7.672924	-0.8044425	285.79	DGKE	diacylglycerol kinase epsilon
60481	1.47e-12	1.79e-14	0.0464	-7.66512	-0.3558623	4041.21	ELOVL5	ELOVL fatty acid elongase 5
22904	1.55e-12	1.90e-14	0.042	-7.657194	-0.3213606	2170.29	SBNO2	strawberry notch homolog 2
65124	1.58e-12	1.94e-14	0.0684	-7.654286	-0.5236304	1152.68	SOWAHC	sosondowah ankyrin repeat domain family member C
6651	1.58e-12	1.95e-14	0.0346	7.654086	0.265041	12742.91	SON	SON DNA and RNA binding protein
6653	1.60e-12	1.99e-14	0.0442	7.651465	0.3384668	3063.7	SORL1	sortilin related receptor 1
23345	1.76e-12	2.19e-14	0.0536	7.639188	0.4095644	642.42	SYNE1	spectrin repeat containing nuclear envelope protein 1
57593	2.00e-12	2.50e-14	0.0706	-7.622091	-0.5378898	497.18	EBF4	EBF family member 4
8303	2.08e-12	2.61e-14	0.0531	7.616122	0.4045173	1722.21	SNN	stannin
80218	2.16e-12	2.72e-14	0.0325	7.610771	0.2472941	8855.07	NAA50	N-alpha-acetyltransferase 50, NatE catalytic subunit
4864	2.16e-12	2.73e-14	0.0545	-7.610726	-0.4147213	2244.87	NPC1	NPC intracellular cholesterol transporter 1
96764	2.42e-12	3.08e-14	0.0424	7.594816	0.3223696	1468.27	TGS1	trimethylguanosine synthase 1
10483	2.42e-12	3.08e-14	0.0404	7.594803	0.3066459	4415.67	SEC23B	SEC23 homolog B, COPII coat complex component
101927204	2.59e-12	3.34e-14	0.124	7.584418	0.9406074	100.22	FAM111A-DT	FAM111A divergent transcript
26073	2.59e-12	3.31e-14	0.0392	7.585394	0.2971727	3304.19	POLDIP2	DNA polymerase delta interacting protein 2
84313	2.59e-12	3.33e-14	0.0609	7.584649	0.4622036	1329.87	VPS25	vacuolar protein sorting 25 homolog
8816	2.67e-12	3.47e-14	0.0454	7.579579	0.3440131	2142.15	DCAF5	DDB1 and CUL4 associated factor 5
1292	2.77e-12	3.60e-14	0.0461	-7.574558	-0.3491868	4963.18	COL6A2	collagen type VI alpha 2 chain
4149	2.78e-12	3.63e-14	0.0402	7.573677	0.3044215	1251.05	MAX	MYC associated factor X
54809	2.85e-12	3.74e-14	0.0915	7.569642	0.6924451	832.37	SAMD9	sterile alpha motif domain containing 9
100506668	2.87e-12	3.78e-14	0.082	7.568397	0.6203549	302.73	NRAV	negative regulator of antiviral response
140576	2.93e-12	3.88e-14	0.043	7.565044	0.3255847	3583.68	S100A16	S100 calcium binding protein A16
5204	3.27e-12	4.34e-14	0.0324	7.550325	0.2447995	4098.79	PFDN5	prefoldin subunit 5
2672	3.38e-12	4.51e-14	0.0693	-7.545331	-0.5230776	476.65	GFI1	growth factor independent 1 transcriptional repressor
8821	3.39e-12	4.54e-14	0.0433	7.544579	0.3269093	1325.85	INPP4B	inositol polyphosphate-4-phosphatase type II B
55004	3.45e-12	4.64e-14	0.0495	7.541614	0.3731724	1504.36	LAMTOR1	late endosomal/lysosomal adaptor, MAPK and MTOR activator 1
2230	3.79e-12	5.11e-14	0.0583	7.529009	0.4388863	1215.84	FDX1	ferredoxin 1
107987374	3.79e-12	5.13e-14	0.1841	-7.528548	-1.3858312	56.98	LOC107987374	replaced by ID 100133545
2263	3.88e-12	5.28e-14	0.0705	-7.52489	-0.5308693	895.58	FGFR2	fibroblast growth factor receptor 2
55794	4.77e-12	6.51e-14	0.0586	7.497432	0.4394431	505.01	DDX28	DEAD-box helicase 28
8651	4.79e-12	6.56e-14	0.1076	7.496398	0.8063696	185.26	SOCS1	suppressor of cytokine signaling 1
23065	4.83e-12	6.65e-14	0.0338	7.494579	0.2531387	5086.47	EMC1	ER membrane protein complex subunit 1
8394	4.93e-12	6.81e-14	0.0355	7.491458	0.2659472	3452.69	PIP5K1A	phosphatidylinositol-4-phosphate 5-kinase type 1 alpha
10093	5.00e-12	6.93e-14	0.0507	7.489141	0.3797281	3255.4	ARPC4	actin related protein 2/3 complex subunit 4
375743	5.24e-12	7.29e-14	0.0444	-7.482451	-0.3323017	2777.62	PTAR1	protein prenyltransferase alpha subunit repeat containing 1
8863	5.40e-12	7.54e-14	0.0636	-7.478138	-0.4756958	524	PER3	period circadian regulator 3
9578	5.76e-12	8.11e-14	0.023	-7.468521	-0.1715739	6781.46	CDC42BPB	CDC42 binding protein kinase beta
146691	5.76e-12	8.09e-14	0.0444	7.468924	0.3317034	1512.3	TOM1L2	target of myb1 like 2 membrane trafficking protein
374618	5.81e-12	8.21e-14	0.0964	7.466942	0.7198441	281.31	TEX9	testis expressed 9
390980	5.99e-12	8.49e-14	0.0639	-7.462525	-0.4769558	694.06	ZNF805	zinc finger protein 805
24138	6.37e-12	9.07e-14	0.0667	7.453826	0.4972171	770.89	IFIT5	interferon induced protein with tetratricopeptide repeats 5
578	6.39e-12	9.13e-14	0.0571	7.45291	0.4253683	930.18	BAK1	BCL2 antagonist/killer 1
274	6.41e-12	9.20e-14	0.0527	7.451949	0.3927788	1147.42	BIN1	bridging integrator 1
5546	6.81e-12	9.80e-14	0.0441	7.443608	0.3285802	1718.05	PRCC	proline rich mitotic checkpoint control factor
4809	6.81e-12	9.84e-14	0.0278	7.443007	0.20714	4672.7	SNU13	small nuclear ribonucleoprotein 13
100133545	6.85e-12	9.94e-14	0.1872	-7.441744	-1.393325	51.73	MRPL23-AS1	MRPL23 antisense RNA 1
84516	6.93e-12	1.01e-13	0.0857	7.439886	0.6379137	4022.86	DCTN5	dynactin subunit 5
150696	7.18e-12	1.05e-13	0.1458	7.43422	1.0836803	481.38	PROM2	prominin 2
3674	7.18e-12	1.05e-13	0.0908	-7.434114	-0.6746495	278.88	ITGA2B	integrin subunit alpha 2b
9353	7.19e-12	1.06e-13	0.0952	-7.433455	-0.7078302	237.54	SLIT2	slit guidance ligand 2
26503	7.22e-12	1.07e-13	0.0395	7.432406	0.2932719	1617.97	SLC17A5	solute carrier family 17 member 5
147007	7.37e-12	1.09e-13	0.0665	7.429218	0.4937265	791.9	TMEM199	transmembrane protein 199
81607	7.49e-12	1.11e-13	0.1846	7.426727	1.3712032	109.35	NECTIN4	nectin cell adhesion molecule 4
883	7.77e-12	1.16e-13	0.0797	-7.421357	-0.5912996	438.89	KYAT1	kynurenine aminotransferase 1
4637	7.81e-12	1.17e-13	0.0653	7.420182	0.4846471	10723.41	MYL6	myosin light chain 6
88745	9.74e-12	1.46e-13	0.0517	7.3904	0.3824425	1746.07	RRP36	ribosomal RNA processing 36
130399	9.84e-12	1.48e-13	0.1233	-7.388543	-0.9113735	205.12	ACVR1C	activin A receptor type 1C
10163	9.93e-12	1.50e-13	0.0622	-7.386892	-0.4598163	6129.68	WASF2	WASP family member 2
23362	1.01e-11	1.54e-13	0.0472	-7.384075	-0.3482554	3218.74	PSD3	pleckstrin and Sec7 domain containing 3
9792	1.05e-11	1.61e-13	0.093	-7.377974	-0.686469	3862.71	SERTAD2	SERTA domain containing 2
23531	1.10e-11	1.68e-13	0.0747	-7.372418	-0.5505476	884.23	MMD	monocyte to macrophage differentiation associated
6727	1.17e-11	1.79e-13	0.0567	7.363681	0.4176281	6231.38	SRP14	signal recognition particle 14
79803	1.22e-11	1.87e-13	0.0489	7.357469	0.359427	1708.47	HPS6	HPS6 biogenesis of lysosomal organelles complex 2 subunit 3
7803	1.28e-11	1.98e-13	0.0867	7.350346	0.6370639	13733.33	PTP4A1	protein tyrosine phosphatase 4A1
22981	1.28e-11	1.98e-13	0.0558	-7.350011	-0.4100164	898.91	NINL	ninein like
6302	1.30e-11	2.01e-13	0.0447	7.347822	0.3284281	1873.23	TSPAN31	tetraspanin 31
5238	1.35e-11	2.10e-13	0.0398	-7.341991	-0.2918798	2421.06	PGM3	phosphoglucomutase 3
2264	1.40e-11	2.20e-13	0.0593	-7.336135	-0.4352972	2243.2	FGFR4	fibroblast growth factor receptor 4
134	1.47e-11	2.31e-13	0.0926	7.329673	0.6785014	260.4	ADORA1	adenosine A1 receptor
2975	1.49e-11	2.34e-13	0.034	7.32753	0.2488422	6932.35	GTF3C1	general transcription factor IIIC subunit 1
79147	1.51e-11	2.38e-13	0.078	7.325303	0.5715419	497.67	FKRP	fukutin related protein
284385	1.51e-11	2.39e-13	0.1547	7.324689	1.1331565	144.96	ZNF561-AS1	ZNF561 antisense RNA 1 (head to head)
79618	1.53e-11	2.44e-13	0.0525	-7.322308	-0.384317	3231.84	HMBOX1	homeobox containing 1
23395	1.68e-11	2.69e-13	0.0504	7.309262	0.368261	1604.79	LARS2	leucyl-tRNA synthetase 2, mitochondrial
256691	1.70e-11	2.73e-13	0.0788	7.307056	0.5760311	442.35	MAMDC2	MAM domain containing 2
84725	1.74e-11	2.80e-13	0.0645	-7.30361	-0.4711427	1424.54	PLEKHA8	pleckstrin homology domain containing A8
151176	1.88e-11	3.03e-13	0.1168	-7.293086	-0.8521495	354.1	ERFE	erythroferrone
10199	1.90e-11	3.07e-13	0.0476	7.291224	0.3474118	1533.66	MPHOSPH10	M-phase phosphoprotein 10
119032	1.91e-11	3.10e-13	0.072	7.290153	0.524655	515	BORCS7	BLOC-1 related complex subunit 7
84317	1.92e-11	3.13e-13	0.0657	7.288871	0.4792087	774.72	CCDC115	coiled-coil domain containing 115
3423	2.05e-11	3.35e-13	0.0365	7.279694	0.2659665	3320.52	IDS	iduronate 2-sulfatase
10482	2.08e-11	3.42e-13	0.0407	7.276822	0.2962121	2062.05	NXF1	nuclear RNA export factor 1
25855	2.11e-11	3.47e-13	0.0565	7.274893	0.411108	1572.48	BRMS1	BRMS1 transcriptional repressor and anoikis regulator
124935	2.37e-11	3.92e-13	0.0708	7.258379	0.5140683	1146.07	SLC43A2	solute carrier family 43 member 2
4170	2.51e-11	4.17e-13	0.0398	-7.24997	-0.2888086	6659.95	MCL1	MCL1 apoptosis regulator, BCL2 family member
8322	2.51e-11	4.18e-13	0.0811	-7.249665	-0.588185	638.16	FZD4	frizzled class receptor 4
55668	2.58e-11	4.30e-13	0.0366	-7.24565	-0.2652056	4447.56	GPATCH2L	G-patch domain containing 2 like
150864	2.75e-11	4.60e-13	0.0641	-7.236705	-0.4635764	903.42	FAM117B	family with sequence similarity 117 member B
57655	2.90e-11	4.86e-13	0.0348	-7.229018	-0.2516953	2359.29	GRAMD1A	GRAM domain containing 1A
56977	2.92e-11	4.92e-13	0.0709	-7.227607	-0.5127749	642.57	STOX2	storkhead box 2
10914	3.41e-11	5.75e-13	0.0395	-7.206206	-0.2847513	9648.56	PAPOLA	poly(A) polymerase alpha
5966	3.41e-11	5.78e-13	0.0743	-7.205638	-0.5355244	971.71	REL	REL proto-oncogene, NF-kB subunit
9563	3.58e-11	6.08e-13	0.1324	-7.198598	-0.9532969	1914.89	H6PD	hexose-6-phosphate dehydrogenase/glucose 1-dehydrogenase
55699	4.04e-11	6.88e-13	0.0411	-7.181702	-0.2952089	7227.49	IARS2	isoleucyl-tRNA synthetase 2, mitochondrial
27244	4.15e-11	7.10e-13	0.1169	7.177558	0.8387601	925.88	SESN1	sestrin 1
100505678	4.21e-11	7.22e-13	0.1102	-7.175293	-0.7910111	179.01	STARD4-AS1	STARD4 antisense RNA 1
7572	4.89e-11	8.40e-13	0.0313	-7.154422	-0.2238866	3786.64	ZNF24	zinc finger protein 24
220963	4.96e-11	8.55e-13	0.0672	7.152049	0.4808967	564.77	SLC16A9	solute carrier family 16 member 9
421	4.99e-11	8.63e-13	0.0415	7.150837	0.2965518	2958.22	ARVCF	ARVCF delta catenin family member
9140	5.24e-11	9.09e-13	0.0708	-7.143684	-0.5057623	4159.82	ATG12	autophagy related 12
841	5.26e-11	9.16e-13	0.0755	7.142601	0.5393116	1125.11	CASP8	caspase 8
79789	5.72e-11	9.98e-13	0.1336	-7.130781	-0.9529756	1991.32	CLMN	calmin
57822	6.15e-11	1.08e-12	0.2175	7.12029	1.5486027	168.98	GRHL3	grainyhead like transcription factor 3
9766	6.16e-11	1.08e-12	0.0966	7.119552	0.6875441	722.06	SUSD6	sushi domain containing 6
6626	6.16e-11	1.09e-12	0.0427	-7.119238	-0.3040959	2637.79	SNRPA	small nuclear ribonucleoprotein polypeptide A
124491	6.81e-11	1.20e-12	0.0626	-7.10491	-0.4447781	1408.68	TMEM170A	transmembrane protein 170A
388611	6.97e-11	1.24e-12	0.0892	-7.101275	-0.63334	327.5	CD164L2	CD164 molecule like 2
8527	7.03e-11	1.25e-12	0.0532	-7.099701	-0.3774495	2937.62	DGKD	diacylglycerol kinase delta
79269	7.08e-11	1.26e-12	0.0508	-7.098374	-0.3605056	1486.47	DCAF10	DDB1 and CUL4 associated factor 10
2193	7.14e-11	1.28e-12	0.055	7.096837	0.3905925	3511.82	FARSA	phenylalanyl-tRNA synthetase subunit alpha
1956	7.47e-11	1.34e-12	0.0646	-7.090194	-0.4580274	5557.64	EGFR	epidermal growth factor receptor
285513	7.73e-11	1.39e-12	0.1209	-7.085018	-0.8569296	226.45	GPRIN3	GPRIN family member 3
2273	7.76e-11	1.40e-12	0.0747	-7.083966	-0.5291765	819.88	FHL1	four and a half LIM domains 1
1838	7.98e-11	1.44e-12	0.0556	-7.079764	-0.3935133	555.51	DTNB	dystrobrevin beta
9554	8.12e-11	1.47e-12	0.0459	7.076886	0.3251339	2351.28	SEC22B	SEC22 homolog B, vesicle trafficking protein
